Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,94,0.104444,90,0.1,4,0.00444444,6,00
900,88,0.0977778,82,0.0911111,6,0.00666667,4,12
900,70,0.0777778,50,0.0555556,20,0.0222222,2,36
900,77,0.0855556,63,0.07,14,0.0155556,6,04
900,81,0.09,69,0.0766667,12,0.0133333,7,14
900,64,0.0711111,46,0.0511111,18,0.02,3,57
900,87,0.0966667,68,0.0755556,19,0.0211111,3,49
900,91,0.101111,82,0.0911111,9,0.01,7,12
900,97,0.107778,91,0.101111,6,0.00666667,8,02
900,82,0.0911111,77,0.0855556,5,0.00555556,7,00
900,66,0.0733333,59,0.0655556,7,0.00777778,5,01
900,72,0.08,56,0.0622222,16,0.0177778,6,35
900,85,0.0944444,69,0.0766667,16,0.0177778,11,13
900,65,0.0722222,51,0.0566667,14,0.0155556,2,14
900,72,0.08,59,0.0655556,13,0.0144444,7,35
900,96,0.106667,87,0.0966667,9,0.01,8,01
900,70,0.0777778,63,0.07,7,0.00777778,5,01
900,70,0.0777778,50,0.0555556,20,0.0222222,5,39
900,77,0.0855556,68,0.0755556,9,0.01,12,13
900,84,0.0933333,77,0.0855556,7,0.00777778,5,00
900,93,0.103333,81,0.09,12,0.0133333,7,02
900,71,0.0788889,62,0.0688889,9,0.01,12,22
900,43,0.0477778,28,0.0311111,15,0.0166667,0,45
900,71,0.0788889,50,0.0555556,21,0.0233333,6,49
900,72,0.08,59,0.0655556,13,0.0144444,7,03
900,69,0.0766667,61,0.0677778,8,0.00888889,6,22
900,50,0.0555556,28,0.0311111,22,0.0244444,3,29
900,78,0.0866667,66,0.0733333,12,0.0133333,4,13
900,51,0.0566667,37,0.0411111,14,0.0155556,4,15
900,85,0.0944444,65,0.0722222,20,0.0222222,7,27
900,76,0.0844444,63,0.07,13,0.0144444,11,13
900,51,0.0566667,35,0.0388889,16,0.0177778,4,56
900,91,0.101111,73,0.0811111,18,0.02,14,59
900,92,0.102222,80,0.0888889,12,0.0133333,6,01
900,89,0.0988889,73,0.0811111,16,0.0177778,10,14
900,65,0.0722222,52,0.0577778,13,0.0144444,3,01
900,59,0.0655556,45,0.05,14,0.0155556,4,23
900,91,0.101111,81,0.09,10,0.0111111,8,24
900,55,0.0611111,34,0.0377778,21,0.0233333,4,15
900,67,0.0744444,57,0.0633333,10,0.0111111,5,22
900,68,0.0755556,47,0.0522222,21,0.0233333,3,47
900,79,0.0877778,69,0.0766667,10,0.0111111,4,26
900,74,0.0822222,61,0.0677778,13,0.0144444,5,04
900,62,0.0688889,47,0.0522222,15,0.0166667,6,24
900,83,0.0922222,79,0.0877778,4,0.00444444,6,01
900,105,0.116667,91,0.101111,14,0.0155556,8,01
900,59,0.0655556,48,0.0533333,11,0.0122222,7,24
900,99,0.11,90,0.1,9,0.01,9,02
900,81,0.09,64,0.0711111,17,0.0188889,6,410
900,83,0.0922222,71,0.0788889,12,0.0133333,4,25
900,63,0.07,48,0.0533333,15,0.0166667,2,15
900,86,0.0955556,75,0.0833333,11,0.0122222,6,12
900,70,0.0777778,54,0.06,16,0.0177778,5,23
900,65,0.0722222,49,0.0544444,16,0.0177778,2,46
900,82,0.0911111,68,0.0755556,14,0.0155556,10,03
900,98,0.108889,93,0.103333,5,0.00555556,12,02
900,75,0.0833333,50,0.0555556,25,0.0277778,6,812
900,73,0.0811111,59,0.0655556,14,0.0155556,4,11
900,60,0.0666667,45,0.05,15,0.0166667,5,25
900,73,0.0811111,57,0.0633333,16,0.0177778,4,23
